Capacitance,Capacitance 2,Temperature
314,314,30
318,318,35
319,319,40
322,322,45
323,323,50
324,324,55
326,326,60
329,329,65
333,333,70
337,337,75
342,342,80
348,348,85
355,355,90
365,365,95
375,375,100
388,388,105
402,402,110
418,418,115
440,440,120
470,470,125
487,487,130
488,488,131
487,487,132
484,484,133
481,481,134
476,476,135
472,472,136
467,467,137
461,461,138
456,456,139
451,451,140
425,425,145
407,407,150
390,390,155
365,365,160
345,345,165
327,327,170
312,312,175
298,298,180
287,287,185
