VOLTAGE,CURRENT,VOLTAGE,CURRENT
-0.000364438,-1.22E-08,0.000364438,1.22E-08
0.73991549,0.000999509,-0.73991549,-1.00E-03
0.760140479,0.001997872,-0.760140479,-2.00E-03
0.771642506,0.002996737,-0.771642506,-3.00E-03
0.781059206,0.003998357,-0.781059206,-4.00E-03
0.789004862,0.004997318,-0.789004862,-5.00E-03
0.794597208,0.005995919,-0.794597208,-6.00E-03
0.799130619,0.006997277,-0.799130619,-7.00E-03
0.802899718,0.007995856,-0.802899718,-8.00E-03
0.806226254,0.008997929,-0.806226254,-9.00E-03
0.809220374,0.009996977,-0.809220374,-1.00E-02
-0.000322238,-1.10E-08,0.000322238,1.10E-08
-0.996819973,-1.32E-08,0.996819973,1.32E-08
-1.996741772,-1.74E-08,1.996741772,1.74E-08
-2.995190144,-1.79E-08,2.995190144,1.79E-08
-3.99339819,-1.10E-08,3.99339819,1.10E-08
-4.99149847,-2.70E-08,4.99149847,2.70E-08
-5.989758492,-8.35E-07,5.989758492,8.35E-07
-6.162160873,-0.000999727,6.162160873,1.00E-03
-6.156101704,-0.002000747,6.156101704,2.00E-03
-6.159126282,-0.00300263,6.159126282,3.00E-03
-6.16304493,-0.004001602,6.16304493,4.00E-03
-6.167136192,-0.004999918,6.167136192,5.00E-03
-6.171238899,-0.006001502,6.171238899,6.00E-03
-6.175305367,-0.007000129,6.175305367,7.00E-03
-6.179374695,-0.007999005,6.179374695,8.00E-03
-6.183472633,-0.008997642,6.183472633,9.00E-03
-6.187511444,-0.00999947,6.187511444,1.00E-02
